company,website,quality,score,category,email,phone,location,description,employees,year_founded,scraped_at
GrowthHackers,https://www.growthhackers.com,Medium,76,Web Developers,info@growthhackers.com,+1 (796) 409-8633,"Denver, CO",Leading provider of Web Developers services with over 10 years of experience.,103 employees,2001,2026-03-05 02:11:58
PixelPerfect,https://www.pixelperfect.com,High,85,Web Developers,info@pixelperfect.com,+1 (832) 910-5759,"Los Angeles, CA",Leading provider of Web Developers services with over 24 years of experience.,197 employees,1999,2026-03-05 02:11:58
AnalyticsPro,https://www.analyticspro.com,Medium,70,Web Developers,info@analyticspro.com,+1 (698) 347-5266,"Boston, MA",Leading provider of Web Developers services with over 16 years of experience.,385 employees,2007,2026-03-05 02:11:58
BrandBuilders,https://www.brandbuilders.com,Premium,97,Web Developers,info@brandbuilders.com,+1 (754) 893-7170,"Portland, OR",Leading provider of Web Developers services with over 20 years of experience.,317 employees,2001,2026-03-05 02:11:58
BrandBuilders,https://www.brandbuilders.com,Premium,96,Web Developers,info@brandbuilders.com,+1 (859) 406-6598,"New York, NY",Leading provider of Web Developers services with over 10 years of experience.,181 employees,2008,2026-03-05 02:11:58
ConversionPros,https://www.conversionpros.com,Medium,79,Web Developers,info@conversionpros.com,+1 (510) 599-3224,"Portland, OR",Leading provider of Web Developers services with over 8 years of experience.,286 employees,1999,2026-03-05 02:11:58
DataDriven,https://www.datadriven.com,Medium,79,Web Developers,info@datadriven.com,+1 (238) 587-4801,"Atlanta, GA",Leading provider of Web Developers services with over 12 years of experience.,172 employees,1997,2026-03-05 02:11:58
AnalyticsPro,https://www.analyticspro.com,High,84,Web Developers,info@analyticspro.com,+1 (781) 261-1197,"Atlanta, GA",Leading provider of Web Developers services with over 17 years of experience.,228 employees,2006,2026-03-05 02:11:58
ContentKing,https://www.contentking.com,High,87,Web Developers,info@contentking.com,+1 (427) 372-5660,"Portland, OR",Leading provider of Web Developers services with over 20 years of experience.,206 employees,2005,2026-03-05 02:11:58
AI Frontier,https://www.aifrontier.com,High,81,Web Developers,info@aifrontier.com,+1 (377) 665-3967,"Los Angeles, CA",Leading provider of Web Developers services with over 10 years of experience.,12 employees,2005,2026-03-05 02:11:58
MobileFirst,https://www.mobilefirst.com,Low,67,Web Developers,info@mobilefirst.com,+1 (486) 364-7560,"Los Angeles, CA",Leading provider of Web Developers services with over 19 years of experience.,334 employees,2007,2026-03-05 02:11:58
CodeMasters,https://www.codemasters.com,Low,63,Web Developers,info@codemasters.com,+1 (513) 434-8485,"Atlanta, GA",Leading provider of Web Developers services with over 18 years of experience.,186 employees,2014,2026-03-05 02:11:58
