company,website,description,location,rating,min_project,hourly_rate,employees,scraped_at,quality,validation_score,category,category_id
Solid Digital,,,Serves India,"4.9
40 reviews","$75,000+",$150 - $199 / hr,10 - 49,2026-03-05 03:38:56,Premium,98,Digital Design Agencies in India,digital-design-india
ControlF5,,,"Indore, India","4.9
169 reviews","$10,000+",$100 - $149 / hr,50 - 249,2026-03-05 03:38:57,Premium,98,Digital Design Agencies in India,digital-design-india
Yellow Slice,,,"Mumbai, India","4.5
31 reviews","$10,000+",$25 - $49 / hr,50 - 249,2026-03-05 03:38:59,Premium,90,Digital Design Agencies in India,digital-design-india
Codal,,,"Ahmedabad, India","4.9
21 reviews","$75,000+",$150 - $199 / hr,250 - 999,2026-03-05 03:39:00,Premium,98,Digital Design Agencies in India,digital-design-india
SparxIT,,,"Noida, India","4.8
79 reviews","$10,000+",$25 - $49 / hr,250 - 999,2026-03-05 03:39:01,Premium,96,Digital Design Agencies in India,digital-design-india
PageTraffic,,,"Mumbai, India","4.9
103 reviews","$1,000+",< $25 / hr,50 - 249,2026-03-05 03:39:02,Premium,98,Digital Design Agencies in India,digital-design-india
divami,,,"Bengaluru, India","4.8
61 reviews","$25,000+",$50 - $99 / hr,50 - 249,2026-03-05 03:39:03,Premium,96,Digital Design Agencies in India,digital-design-india
GeekyAnts,,,"Bengaluru, India","4.8
112 reviews","$10,000+",$25 - $49 / hr,250 - 999,2026-03-05 03:39:04,Premium,96,Digital Design Agencies in India,digital-design-india
Konstant Infosolutions,,,"Jaipur, India","4.8
167 reviews","$5,000+",$25 - $49 / hr,250 - 999,2026-03-05 03:39:06,Premium,96,Digital Design Agencies in India,digital-design-india
Digital Aptech,,,"Kolkata, India","4.8
61 reviews","$1,000+",< $25 / hr,250 - 999,2026-03-05 03:39:07,Premium,96,Digital Design Agencies in India,digital-design-india
Aalpha Information Systems India Pvt. Ltd,,,"Bengaluru, India","4.9
215 reviews","$1,000+",< $25 / hr,50 - 249,2026-03-05 03:39:08,Premium,98,Digital Design Agencies in India,digital-design-india
JPLoft,,,"Jaipur, India","5.0
91 reviews","$10,000+",$50 - $99 / hr,50 - 249,2026-03-05 03:39:08,Premium,100,Digital Design Agencies in India,digital-design-india
Skynet Technologies,,,"Ahmedabad, India","5.0
10 reviews","$5,000+",$50 - $99 / hr,50 - 249,2026-03-05 03:39:09,Premium,100,Digital Design Agencies in India,digital-design-india
Elsner Technologies Pvt Ltd,,,"Ahmedabad, India","4.8
81 reviews","$5,000+",< $25 / hr,50 - 249,2026-03-05 03:39:10,Premium,96,Digital Design Agencies in India,digital-design-india
Infowind Technologies IT Pvt Ltd,,,"Indore, India","4.9
68 reviews","$5,000+",< $25 / hr,50 - 249,2026-03-05 03:39:12,Premium,98,Digital Design Agencies in India,digital-design-india
Matrix Media Solutions (P) Ltd.,,,"Kolkata, India","4.9
43 reviews","$1,000+",< $25 / hr,50 - 249,2026-03-05 03:39:13,Premium,98,Digital Design Agencies in India,digital-design-india
LN Webworks Private Limited,,,"Dehradun, India","4.9
40 reviews","$5,000+",$25 - $49 / hr,50 - 249,2026-03-05 03:39:14,Premium,98,Digital Design Agencies in India,digital-design-india
Flowtrix,,,"Bengaluru, India","4.9
7 reviews","$10,000+",$100 - $149 / hr,10 - 49,2026-03-05 03:39:15,Premium,98,Digital Design Agencies in India,digital-design-india
Unified Infotech,,,"Kolkata, India","4.6
65 reviews","$25,000+",$50 - $99 / hr,50 - 249,2026-03-05 03:39:16,Premium,92,Digital Design Agencies in India,digital-design-india
Reckonsys,,,"Bengaluru, India","4.8
29 reviews","$50,000+",$25 - $49 / hr,50 - 249,2026-03-05 03:39:17,Premium,96,Digital Design Agencies in India,digital-design-india
