company,website,profile_url,description,location,rating,min_project,hourly_rate,employees,employee_count,emails,email_count,phones,linkedin,twitter,facebook,instagram,github,youtube,behance,dribbble,quality,validation_score,scraped_at,category,category_id
Mavlers,,https://clutch.co/profile/mavlers#reviews,,Serves India,"4.9
106 reviews","$1,000+",$50 - $99 / hr,250 - 999,250,,0,"1014022500000, 1014022500, 1657698025697, 1657698025",,,,,,,,,Premium,98,2026-03-05 23:33:07,PPC Agencies in India,ppc-india
Conversion Perk,,https://clutch.co/profile/conversion-perk,,"Sahibzada Ajit Singh Nagar, India","5.0
28 reviews","$1,000+",< $25 / hr,10 - 49,10,,0,"1014022500000, 1014022500, 9478787676",,,,,,,,,Premium,100,2026-03-05 23:33:17,PPC Agencies in India,ppc-india
Hustle Marketers,,https://clutch.co/profile/hustle-marketers,,"Chandigarh, India","5.0
35 reviews","$1,000+",$25 - $49 / hr,2 - 9,2,info@hustlemarketers.com,1,"1014022500000, +91 88476 0905, 1014022500",,,,,,,,,Premium,100,2026-03-05 23:33:25,PPC Agencies in India,ppc-india
EvenDigit,,https://clutch.co/profile/evendigit,,"Indore, India","4.9
102 reviews","$1,000+",< $25 / hr,50 - 249,50,,0,"1014022500000, 1014022500, +91 9644455775, 9644455775",,,,,,,,,Premium,98,2026-03-05 23:33:35,PPC Agencies in India,ppc-india
PageTraffic,,https://clutch.co/profile/pagetraffic,,"Mumbai, India","4.9
103 reviews","$1,000+",< $25 / hr,50 - 249,50,,0,"1014022500000, 1014022500, 9212521444",,,,,,,,,Premium,98,2026-03-05 23:33:42,PPC Agencies in India,ppc-india
WebSpero Solutions,,https://clutch.co/profile/webspero-solutions,,"Sahibzada Ajit Singh Nagar, India","5.0
119 reviews","$1,000+",$25 - $49 / hr,50 - 249,50,,0,"1014022500000, 172 5096403, +91-172 5096403, 1014022500",,,,,,,,,Premium,100,2026-03-05 23:33:50,PPC Agencies in India,ppc-india
e intelligence,,https://clutch.co/profile/e-intelligence,,"Vadodara, India","4.9
26 reviews","$1,000+",$25 - $49 / hr,10 - 49,10,,0,"1014022500000, 1014022500",,,,,,,,,Premium,98,2026-03-05 23:33:57,PPC Agencies in India,ppc-india
Matrix Bricks,,https://clutch.co/profile/matrix-bricks,,"Mumbai, India","4.8
37 reviews","$1,000+",$25 - $49 / hr,10 - 49,10,,0,"1014022500000, 1014022500, 9193220708, +919322070866",,,,,,,,,Premium,96,2026-03-05 23:34:05,PPC Agencies in India,ppc-india
ShootOrder,,https://clutch.co/profile/shootorder,,"Hyderabad, India","4.6
18 reviews","$1,000+",$50 - $99 / hr,50 - 249,50,,0,"1014022500000, +91 63039 2151, 1014022500",,,,,,,,,Premium,92,2026-03-05 23:34:16,PPC Agencies in India,ppc-india
SEO Tech Experts Pvt Ltd,,https://clutch.co/profile/seo-tech-experts,,"Gurugram, India","5.0
53 reviews","$1,000+",$50 - $99 / hr,50 - 249,50,,0,"1014022500000, 1014022500, 9871280005",,,,,,,,,Premium,100,2026-03-05 23:34:24,PPC Agencies in India,ppc-india
Dignitas Digital,,https://clutch.co/profile/dignitas-digital,,"Delhi, India","4.9
19 reviews","$10,000+",$25 - $49 / hr,10 - 49,10,,0,"1014022500000, 1014022500, 911145501210, 9111455012",,,,,,,,,Premium,98,2026-03-05 23:34:32,PPC Agencies in India,ppc-india
"ioVista, Inc.",,https://clutch.co/profile/iovista,,"Ahmedabad, India","4.9
17 reviews","$25,000+",$100 - $149 / hr,50 - 249,50,,0,"1014022500000, 1014022500, 9099821638",,,,,,,,,Premium,98,2026-03-05 23:34:41,PPC Agencies in India,ppc-india
Newrise Technosys Pvt. Ltd.,,https://clutch.co/profile/newrise-technosys-0,,"Bhopal, India","4.6
6 reviews","$1,000+",< $25 / hr,10 - 49,10,,0,"1014022500000, 1014022500, 07554285455, 0755428545",,,,,,,,,Premium,92,2026-03-05 23:34:49,PPC Agencies in India,ppc-india
I Knowledge Factory Pvt. Ltd.,,https://clutch.co/profile/i-knowledge-factory,,"Pune, India","4.9
14 reviews",Undisclosed,Undisclosed,50 - 249,50,,0,"1014022500000, 9188888661, +918888866110, 1014022500",,,,,,,,,Premium,98,2026-03-05 23:34:57,PPC Agencies in India,ppc-india
whiteDigital,,https://clutch.co/profile/whitedigital,,"Nagercoil, India","4.8
37 reviews","$1,000+",$50 - $99 / hr,50 - 249,50,,0,"1014022500000, 1014022500, 9194980999, +919498099971",,,,,,,,,Premium,96,2026-03-05 23:35:04,PPC Agencies in India,ppc-india
Offshore Marketers,,https://clutch.co/profile/offshore-marketers,,"Chandigarh, India","5.0
39 reviews","$1,000+",$25 - $49 / hr,10 - 49,10,,0,"1666989165, +919149673693, 1014022500000, 1014022500, 9191496736",,,,,,,,,Premium,100,2026-03-05 23:35:13,PPC Agencies in India,ppc-india
ROI MINDS,,https://clutch.co/profile/roi-minds,,"Sahibzada Ajit Singh Nagar, India","4.9
91 reviews","$5,000+",$25 - $49 / hr,10 - 49,10,,0,"1014022500000, 1014022500, 9992819636",,,,,,,,,Premium,98,2026-03-05 23:35:25,PPC Agencies in India,ppc-india
Jeel Techsoft,,https://clutch.co/profile/jeel-techsoft,,"Ahmedabad, India","5.0
15 reviews","$5,000+",< $25 / hr,10 - 49,10,,0,"1014022500000, +91 99983 7262, 1014022500",,,,,,,,,Premium,100,2026-03-05 23:35:35,PPC Agencies in India,ppc-india
"iQuanti, Inc.",,https://clutch.co/profile/iquanti,,"Bengaluru, India","5.0
1 review","$100,000+",$150 - $199 / hr,250 - 999,250,,0,"1014022500000, +91 80667 4660, 1014022500",,,,,,,,,Premium,100,2026-03-05 23:35:43,PPC Agencies in India,ppc-india
SIB Infotech,,https://clutch.co/profile/sib-infotech,,"Delhi, India","4.9
16 reviews","$1,000+",$25 - $49 / hr,10 - 49,10,,0,"1014022500000, 1014022500, +91-9222260000, 9222260000",,,,,,,,,Premium,98,2026-03-05 23:35:51,PPC Agencies in India,ppc-india
