company,category,quality,score,validation_score,location,reviews,employees,emp_count,email,website,scraped_at
Branding Agencies In India Company 1,Branding Agencies In India,Premium,94,94,"Mumbai, India",92,10-49,3089,info@branding-agencies-in-india1.com,https://www.branding-agencies-in-india1.com,2026-03-06 07:57:47
Branding Agencies In India Company 2,Branding Agencies In India,Low,68,68,"Mumbai, India",378,50-249,53,info@branding-agencies-in-india2.com,https://www.branding-agencies-in-india2.com,2026-03-06 07:57:47
Branding Agencies In India Company 3,Branding Agencies In India,Medium,78,78,"Pune, India",259,10-49,1221,info@branding-agencies-in-india3.com,https://www.branding-agencies-in-india3.com,2026-03-06 07:57:47
Branding Agencies In India Company 4,Branding Agencies In India,Low,65,65,"Bangalore, India",445,250-999,3369,info@branding-agencies-in-india4.com,https://www.branding-agencies-in-india4.com,2026-03-06 07:57:47
Branding Agencies In India Company 5,Branding Agencies In India,High,87,87,"Bangalore, India",285,50-249,2507,info@branding-agencies-in-india5.com,https://www.branding-agencies-in-india5.com,2026-03-06 07:57:47
Branding Agencies In India Company 6,Branding Agencies In India,Low,69,69,"Chennai, India",380,1000-5000,4941,info@branding-agencies-in-india6.com,https://www.branding-agencies-in-india6.com,2026-03-06 07:57:47
Branding Agencies In India Company 7,Branding Agencies In India,Medium,70,70,"Delhi, India",327,50-249,781,info@branding-agencies-in-india7.com,https://www.branding-agencies-in-india7.com,2026-03-06 07:57:47
Branding Agencies In India Company 8,Branding Agencies In India,Medium,78,78,"Hyderabad, India",125,50-249,612,info@branding-agencies-in-india8.com,https://www.branding-agencies-in-india8.com,2026-03-06 07:57:47
Branding Agencies In India Company 9,Branding Agencies In India,High,88,88,"Chennai, India",27,10-49,2289,info@branding-agencies-in-india9.com,https://www.branding-agencies-in-india9.com,2026-03-06 07:57:47
Branding Agencies In India Company 10,Branding Agencies In India,High,81,81,"Pune, India",469,10-49,4449,info@branding-agencies-in-india10.com,https://www.branding-agencies-in-india10.com,2026-03-06 07:57:47
Branding Agencies In India Company 11,Branding Agencies In India,Medium,72,72,"Chennai, India",190,1000-5000,230,info@branding-agencies-in-india11.com,https://www.branding-agencies-in-india11.com,2026-03-06 07:57:47
Branding Agencies In India Company 12,Branding Agencies In India,High,83,83,"Mumbai, India",72,10-49,781,info@branding-agencies-in-india12.com,https://www.branding-agencies-in-india12.com,2026-03-06 07:57:47
Branding Agencies In India Company 13,Branding Agencies In India,High,84,84,"Delhi, India",91,10-49,977,info@branding-agencies-in-india13.com,https://www.branding-agencies-in-india13.com,2026-03-06 07:57:47
Branding Agencies In India Company 14,Branding Agencies In India,Medium,74,74,"Pune, India",221,50-249,676,info@branding-agencies-in-india14.com,https://www.branding-agencies-in-india14.com,2026-03-06 07:57:47
Branding Agencies In India Company 15,Branding Agencies In India,High,85,85,"Hyderabad, India",370,50-249,4007,info@branding-agencies-in-india15.com,https://www.branding-agencies-in-india15.com,2026-03-06 07:57:47
Branding Agencies In India Company 16,Branding Agencies In India,Premium,93,93,"Mumbai, India",386,50-249,1091,info@branding-agencies-in-india16.com,https://www.branding-agencies-in-india16.com,2026-03-06 07:57:47
Branding Agencies In India Company 17,Branding Agencies In India,Premium,93,93,"Delhi, India",221,50-249,399,info@branding-agencies-in-india17.com,https://www.branding-agencies-in-india17.com,2026-03-06 07:57:47
Branding Agencies In India Company 18,Branding Agencies In India,Medium,71,71,"Mumbai, India",334,10-49,1352,info@branding-agencies-in-india18.com,https://www.branding-agencies-in-india18.com,2026-03-06 07:57:47
Branding Agencies In India Company 19,Branding Agencies In India,Premium,97,97,"Bangalore, India",443,250-999,64,info@branding-agencies-in-india19.com,https://www.branding-agencies-in-india19.com,2026-03-06 07:57:47
Branding Agencies In India Company 20,Branding Agencies In India,High,80,80,"Pune, India",51,50-249,3696,info@branding-agencies-in-india20.com,https://www.branding-agencies-in-india20.com,2026-03-06 07:57:47
Branding Agencies In India Company 21,Branding Agencies In India,Premium,96,96,"Chennai, India",364,250-999,3493,info@branding-agencies-in-india21.com,https://www.branding-agencies-in-india21.com,2026-03-06 07:57:47
Branding Agencies In India Company 22,Branding Agencies In India,Premium,98,98,"Mumbai, India",114,10-49,2239,info@branding-agencies-in-india22.com,https://www.branding-agencies-in-india22.com,2026-03-06 07:57:47
Branding Agencies In India Company 23,Branding Agencies In India,Premium,91,91,"Mumbai, India",203,10-49,912,info@branding-agencies-in-india23.com,https://www.branding-agencies-in-india23.com,2026-03-06 07:57:47
Branding Agencies In India Company 24,Branding Agencies In India,Medium,74,74,"Delhi, India",460,1000-5000,354,info@branding-agencies-in-india24.com,https://www.branding-agencies-in-india24.com,2026-03-06 07:57:47
Branding Agencies In India Company 25,Branding Agencies In India,Medium,79,79,"Chennai, India",434,50-249,1184,info@branding-agencies-in-india25.com,https://www.branding-agencies-in-india25.com,2026-03-06 07:57:47
